frame_f1_72963:73022,frame_f1_110685:110792,frame_f1_157299:157379,frame_f1_160122:160226,frame_f1_160530:160628,frame_f1_163581:163655,frame_f1_164466:164564,frame_f1_168963:169043,frame_f1_169722:169871,frame_f1_170418:170498,frame_f1_174114:174203,frame_f1_174774:174839,frame_f1_177516:177593,frame_f1_181035:181094,frame_f1_182895:182975,frame_f1_183762:183833,frame_f1_184812:184853,frame_f1_185199:185240,frame_f1_186804:186878,frame_f1_187812:187898,frame_f1_188433:188507,frame_f1_190314:190385,frame_f1_190926:190997,frame_f1_192870:192935,frame_f1_197151:197240,frame_f1_197685:197744,frame_f1_200424:200468,frame_f1_236532:236660,frame_f2_122701:122748,frame_f2_149518:149598,frame_f2_151255:151320,frame_f2_153208:153528,frame_f2_153544:153609,frame_f2_154513:154569,frame_f2_155743:155820,frame_f2_159355:159426,frame_f2_159889:159960,frame_f2_161050:161154,frame_f2_163012:163080,frame_f2_163270:163344,frame_f2_167404:167493,frame_f2_170131:170211,frame_f2_172534:172605,frame_f2_176122:176202,frame_f2_179008:179088,frame_f2_183226:183306,frame_f2_184153:184227,frame_f2_184384:184464,frame_f2_184618:184659,frame_f2_185008:185049,frame_f2_185581:185622,frame_f2_185935:186015,frame_f2_187291:187371,frame_f2_188155:188247,frame_f2_274519:274599,frame_f2_274846:274986,frame_f3_66929:67000,frame_f3_154745:154810,frame_f3_156833:156913,frame_f3_159659:159736,frame_f3_163826:163897,frame_f3_164207:164254,frame_f3_165302:165379,frame_f3_165686:165895,frame_f3_166832:166906,frame_f3_167120:167191,frame_f3_168278:168352,frame_f3_168557:168721,frame_f3_169232:169306,frame_f3_170711:171049,frame_f3_171383:171454,frame_f3_172769:172849,frame_f3_173426:173470,frame_f3_175790:175828,frame_f3_176372:176644,frame_f3_178367:178441,frame_f3_180617:180697,frame_f3_181457:181501,frame_f3_183953:184033,frame_f3_185390:185431,frame_f3_185738:185818,frame_f3_186371:186451,frame_f3_186590:186670,frame_f3_188750:188800,frame_f3_189989:190069,frame_f3_191387:191542,frame_f3_198545:198628,frame_f3_315125:315229
60,108,81,105,99,75,99,81,150,81,90,66,78,60,81,72,42,42,75,87,75,72,72,66,90,60,45,129,48,81,66,321,66,57,78,72,72,105,69,75,90,81,72,81,81,81,75,81,42,42,42,81,81,93,81,141,72,66,81,78,72,48,78,210,75,72,75,165,75,339,72,81,45,39,273,75,81,45,81,42,81,81,81,51,81,156,84,105
0.6,0.5,1.0,0.8285714285714286,0.6363636363636364,0.96,0.8484848484848485,0.9629629629629629,0.68,0.9259259259259259,0.7666666666666667,0.9545454545454546,0.8076923076923077,0.7,0.6666666666666666,0.7083333333333334,0.8571428571428571,0.8571428571428571,0.96,0.9310344827586207,0.88,0.5833333333333334,0.625,0.8636363636363636,0.8666666666666667,0.8,0.8666666666666667,0.5116279069767442,0.75,0.6666666666666666,0.8636363636363636,0.5981308411214953,0.6363636363636364,0.5789473684210527,0.7307692307692307,0.9583333333333334,0.8333333333333334,0.6,0.6956521739130435,0.76,0.6333333333333333,1.0,0.8333333333333334,0.9629629629629629,0.8518518518518519,0.7777777777777778,0.92,0.8148148148148148,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.9259259259259259,0.8888888888888888,0.8064516129032258,0.5555555555555556,0.5106382978723404,0.6666666666666666,0.6363636363636364,0.9629629629629629,0.6538461538461539,0.9166666666666666,0.75,0.7307692307692307,0.5714285714285714,0.88,0.9166666666666666,0.76,0.7272727272727273,1.0,0.8849557522123894,0.9166666666666666,0.8888888888888888,0.6,0.9230769230769231,0.6703296703296703,0.84,0.5925925925925926,0.6,0.6296296296296297,0.9285714285714286,1.0,0.9629629629629629,1.0,0.8823529411764706,0.7407407407407407,0.6923076923076923,0.8214285714285714,0.5714285714285714
